"","country","life_ladder_2018","log_gdp_2018","social_support_2018","life_expectancy_2018","freedom_to_make_life_choices_2018","generosity_2018","perceived_corruption_2018","positive_affect_2018","negative_affect_2018","life_ladder_2020","log_gdp_2020","social_support_2020","life_expectancy_2020","freedom_to_make_life_choices_2020","generosity_2020","perceived_corruption_2020","positive_affect_2020","negative_affect_2020","life_ladder_2022","log_gdp_2022","social_support_2022","life_expectancy_2022","freedom_to_make_life_choices_2022","generosity_2022","perceived_corruption_2022","positive_affect_2022","negative_affect_2022"
"57","Mongolia",5.465,9.397,0.942,60.2,0.696,0.05,0.849,5.25,1.92,6.011,9.365,0.918,60.4,0.718,0.14,0.843,5.75,2.6,5.788,9.388,0.951,60.6,0.717,0.214,0.847,5.5,2.09
"58","Morocco",4.897,8.996,0.554,63.6,0.773,-0.243,0.843,5.75,4.16,4.803,8.929,0.553,63.8,0.819,-0.235,0.803,5.48,2.56,4.596,8.996,0.564,64,0.795,-0.254,0.802,5.73,4.14
"59","Namibia",4.834,9.237,0.864,55.725,0.754,-0.174,0.846,6.96,2.4,4.451,9.11,0.741,56.475,0.666,-0.107,0.81,6.52,2.48,4.949,9.132,0.808,57.225,0.683,-0.12,0.849,6.76,2.61
"60","Nepal",4.91,8.221,0.768,61.025,0.77,0.11,0.742,4.57,3.87,5.982,8.233,0.787,61.575,0.772,0.138,0.812,4.8,3.37,5.474,8.285,0.753,62.125,0.844,0.153,0.76,4.73,3.42
"61","Netherlands",7.463,10.934,0.939,71.325,0.92,0.158,0.371,7.48,2.05,7.504,10.902,0.944,71.475,0.935,0.147,0.281,6.91,2.47,7.39,10.981,0.929,71.625,0.868,0.224,0.459,7.11,1.98
"62","New Zealand",7.37,10.666,0.954,70.125,0.949,0.115,0.207,7.85,1.68,7.257,10.637,0.952,70.275,0.918,0.118,0.283,7.96,2.09,6.975,10.682,0.956,70.425,0.831,0.187,0.281,7.06,2.1
"63","Nicaragua",5.819,8.637,0.854,65.425,0.797,0.007,0.713,7.43,4.08,6.287,8.553,0.856,65.575,0.818,0.04,0.631,7.75,3.16,6.392,8.664,0.844,65.725,0.914,-0.001,0.57,7.87,3.39
"64","North Macedonia",5.24,9.69,0.849,65.9,0.745,-0.046,0.91,5.12,2.98,5.054,9.667,0.75,66.3,0.787,0.13,0.877,5.42,3.65,5.167,9.733,0.85,66.7,0.723,0.072,0.937,5.55,2.77
"65","Norway",7.444,11.072,0.966,71.35,0.96,0.088,0.268,7.86,2.12,7.29,11.06,0.956,71.45,0.965,0.069,0.271,7.77,2.16,7.295,11.111,0.927,71.55,0.939,0.185,0.314,7.59,2.11
"66","Peru",5.68,9.449,0.845,69.325,0.83,-0.181,0.906,7.83,3.8,4.994,9.322,0.749,69.675,0.806,-0.091,0.912,7.36,4.81,5.892,9.449,0.823,70.025,0.764,-0.178,0.884,7.55,3.78
"67","Poland",6.111,10.365,0.863,68.525,0.87,-0.258,0.72,6.22,1.76,6.139,10.39,0.953,68.875,0.767,-0.012,0.787,6.77,3.29,6.666,10.509,0.886,69.225,0.8,-0.207,0.667,5.94,1.4
"68","Portugal",5.92,10.435,0.887,70.875,0.877,-0.265,0.88,6.46,3.18,5.768,10.374,0.875,71.125,0.913,-0.242,0.867,6.14,3.83,5.953,10.487,0.862,71.375,0.903,-0.137,0.893,6.38,3.16
"69","Romania",6.151,10.266,0.818,66.675,0.845,-0.222,0.921,6.49,2.98,6.785,10.277,0.869,66.925,0.863,-0.159,0.918,6.68,2.56,6.437,10.404,0.83,67.175,0.836,-0.172,0.941,6.15,2.58
"70","Russia",5.514,10.191,0.909,63.825,0.729,-0.151,0.865,6.15,1.99,5.495,10.188,0.887,64.575,0.714,-0.076,0.823,6.21,1.9,6.044,10.203,0.92,65.325,0.776,-0.07,0.767,6.14,2.11
"71","Saudi Arabia",6.356,10.733,0.868,63.8,0.855,-0.194,NA,6.96,2.88,6.56,10.666,0.89,64.2,0.884,-0.112,NA,7.02,2.51,6.382,10.781,0.9,64.6,NA,-0.027,NA,6.77,2.05
"72","Senegal",4.769,8.122,0.739,59.1,0.629,-0.077,0.805,7.24,2.47,4.757,8.127,0.621,59.7,0.797,-0.049,0.855,8.16,2.68,4.907,8.18,0.609,60.3,0.758,0.052,0.854,8.13,2.87
"73","Slovenia",6.249,10.545,0.941,70.525,0.942,-0.123,0.839,6.01,2.75,6.462,10.521,0.953,70.875,0.958,-0.089,0.797,5.75,3.14,6.723,10.644,0.942,71.225,0.93,0.101,0.762,6.25,2.42
"74","South Korea",5.84,10.645,0.798,72.825,0.6,-0.093,0.797,5.79,2.17,5.793,10.655,0.808,73.375,0.711,-0.111,0.665,5.5,2.47,5.95,10.726,0.81,73.925,0.723,0.003,0.747,5.85,2.33
"75","Spain",6.513,10.603,0.91,71.975,0.722,-0.079,0.777,6.36,3.57,6.502,10.49,0.935,72.225,0.783,-0.125,0.73,6.71,3.17,6.337,10.587,0.934,72.475,0.781,0.001,0.673,6.36,3.2
"76","Sweden",7.375,10.866,0.931,71.775,0.942,0.073,0.263,7.47,1.61,7.314,10.846,0.936,72.025,0.951,0.086,0.203,7.17,2.22,7.431,10.913,0.949,72.275,0.939,0.234,0.213,7.5,1.63
"77","Switzerland",7.509,11.164,0.93,72.3,0.926,0.094,0.301,7.56,1.92,7.508,11.137,0.946,72.7,0.917,-0.072,0.28,7.3,1.93,6.884,11.184,0.881,73.1,0.848,0.128,0.235,7.1,1.8
"78","Taiwan Province of China",6.467,10.781,0.896,NA,0.741,-0.177,0.736,7.46,0.93,6.751,NA,0.901,NA,0.799,NA,0.711,7.43,0.83,6.607,NA,0.883,NA,0.8,NA,0.658,7.17,0.95
"79","Tanzania",3.445,7.828,0.675,58.05,0.807,0.154,0.612,7.02,2.21,3.786,7.844,0.74,58.95,0.83,0.296,0.521,6.67,2.71,3.616,7.872,0.6,59.85,0.856,0.136,0.584,7.07,1.95
"80","Thailand",6.012,9.78,0.873,68.225,0.905,0.257,0.907,7.83,1.98,5.885,9.732,0.867,68.375,0.84,0.272,0.918,7.7,3.26,6.007,9.777,0.867,68.525,0.881,0.301,0.868,7.73,2.18
"81","Tunisia",4.741,9.31,0.733,66.85,0.65,-0.196,0.84,5.36,3.65,4.731,9.215,0.719,66.95,0.668,-0.204,0.877,5.19,4.39,4.261,9.266,0.755,67.05,0.474,-0.231,0.908,4.58,3.04
"82","Ukraine",4.662,9.42,0.901,64.175,0.663,-0.078,0.943,5.5,2.22,5.27,9.426,0.885,64.425,0.784,0.123,0.946,6.29,2.85,4.637,9.049,0.863,64.675,0.829,0.428,0.852,5.27,3.9
"83","United Arab Emirates",6.604,11.178,0.851,65.85,0.944,0.045,NA,7.23,3.02,6.458,11.122,0.827,66.15,0.942,0.05,NA,7.02,2.98,6.738,11.202,0.798,66.45,0.932,0.171,NA,7.15,2.42
"84","United Kingdom",7.233,10.755,0.928,70,0.838,0.221,0.404,7.36,2.28,6.798,10.645,0.929,70.2,0.885,0.197,0.49,7.17,2.25,6.722,10.754,0.863,70.4,0.857,0.309,0.426,7.23,2.7
"85","United States",6.883,11.024,0.904,66.225,0.825,0.112,0.71,7.57,2.92,7.028,11.005,0.937,65.975,0.85,0.029,0.678,7.22,2.95,6.693,11.079,0.9,65.725,0.736,0.191,0.701,7.12,2.67
"86","Uruguay",6.372,10.051,0.917,67.5,0.876,-0.106,0.683,7.75,2.75,6.31,9.991,0.921,67.5,0.908,-0.091,0.491,7.21,2.65,6.671,10.084,0.905,67.5,0.878,-0.052,0.631,7.75,2.67
"87","Uzbekistan",6.205,8.865,0.921,64.4,0.97,0.312,0.52,7.46,2.09,5.842,8.902,0.85,65,0.928,0.193,0.642,6.78,2.79,6.016,8.99,0.879,65.6,0.959,0.309,0.616,7.41,2.25
"88","Venezuela",5.006,5.935,0.887,64.575,0.611,0.072,0.828,7.23,3.74,4.574,NA,0.805,64.225,0.612,NA,0.811,6.89,3.96,5.949,NA,0.899,63.875,0.77,NA,0.798,7.54,2.92
"89","Vietnam",5.296,9.173,0.832,65.2,0.909,-0.061,0.808,6.14,1.91,5.462,9.254,0.765,65.4,0.945,0.066,0.791,6.99,2.86,6.267,9.333,0.879,65.6,0.975,-0.179,0.703,7.74,1.08
"90","Zimbabwe",3.616,7.783,0.775,52.625,0.763,-0.051,0.844,6.58,2.12,3.16,7.596,0.717,53.575,0.643,0.006,0.789,6.61,3.46,3.296,7.67,0.666,54.525,0.652,-0.07,0.753,6.41,1.91
