country,2018_life_ladder,2018_log_gdp,2018_social_support,2018_life_expectancy,2018_freedom_to_make_life_choices,2018_generosity,2018_perceived_corruption,2018_positive_affect,2018_negative_affect,2020_life_ladder,2020_log_gdp,2020_social_support,2020_life_expectancy,2020_freedom_to_make_life_choices,2020_generosity,2020_perceived_corruption,2020_positive_affect,2020_negative_affect,2022_life_ladder,2022_log_gdp,2022_social_support,2022_life_expectancy,2022_freedom_to_make_life_choices,2022_generosity,2022_perceived_corruption,2022_positive_affect,2022_negative_affect
Ghana,5.004,8.542,0.761,57.625,0.817,0.061,0.846,0.716,0.25,5.319,8.569,0.643,58.375,0.824,0.199,0.847,0.675,0.253,4.191,8.615,0.628,59.125,0.786,0.117,0.909,0.62,0.292
Greece,5.409,10.28,0.794,70.775,0.564,-0.338,0.86,0.564,0.255,5.788,10.207,0.779,71.025,0.565,-0.244,0.764,0.629,0.322,5.9,10.364,0.875,71.275,0.563,-0.316,0.874,0.589,0.183
Guinea,5.252,7.813,0.63,52.85,0.731,0.091,0.778,0.727,0.44,4.972,7.865,0.732,53.75,0.598,0.078,0.79,0.706,0.346,5.317,7.9,0.582,54.65,0.729,0.139,0.77,0.699,0.492
Hungary,5.936,10.346,0.941,67.05,0.693,-0.247,0.911,0.595,0.201,6.038,10.349,0.943,67.35,0.771,-0.125,0.836,0.662,0.24,5.861,10.484,0.937,67.65,0.776,-0.008,0.848,0.628,0.25
India,3.818,8.77,0.638,60,0.89,0.083,0.805,0.591,0.357,4.224,8.718,0.616,60.6,0.906,0.071,0.78,0.686,0.383,3.93,8.85,0.608,61.2,0.893,0.09,0.771,0.596,0.432
Indonesia,5.34,9.341,0.809,62.675,0.879,0.509,0.868,0.796,0.296,4.828,9.351,0.751,62.925,0.853,0.532,0.914,0.742,0.351,5.585,9.425,0.834,63.175,0.903,0.519,0.862,0.818,0.269
Iran,4.278,9.591,0.674,66.15,0.603,0.075,0.703,0.482,0.493,4.865,9.577,0.757,66.45,0.6,0.133,0.71,0.505,0.47,4.977,9.638,0.8,66.75,0.57,0.212,0.766,0.521,0.466
Ireland,6.962,11.331,0.938,71,0.861,0.14,0.362,0.754,0.213,7.035,11.42,0.96,71.2,0.882,0.002,0.356,0.753,0.246,6.87,11.625,0.906,71.4,0.895,0.14,0.358,0.738,0.234
Israel,6.927,10.595,0.91,72.25,0.725,0.05,0.77,0.612,0.282,7.195,10.58,0.959,72.55,0.831,-0.057,0.748,0.564,0.243,7.662,10.692,0.954,72.85,0.775,-0.005,0.655,0.583,0.183
Italy,6.517,10.647,0.913,71.825,0.65,-0.025,0.888,0.598,0.403,6.488,10.573,0.89,71.975,0.718,-0.155,0.844,0.614,0.311,6.258,10.685,0.869,72.125,0.711,0.028,0.819,0.624,0.298
Ivory Coast,5.268,8.507,0.621,54.225,0.713,-0.051,0.791,0.659,0.386,5.257,8.537,0.613,55.375,0.77,0.015,0.777,0.655,0.34,4.849,8.612,0.536,56.525,0.713,-0.005,0.743,0.629,0.399
Japan,5.794,10.639,0.886,73.975,0.773,-0.267,0.687,0.649,0.185,6.118,10.595,0.887,74.225,0.806,-0.264,0.609,0.681,0.186,6.178,10.636,0.899,74.475,0.789,-0.235,0.643,0.67,0.165
Kazakhstan,6.008,10.148,0.937,64.6,0.84,-0.102,0.824,0.611,0.162,6.168,10.141,0.966,65.4,0.872,-0.06,0.661,0.62,0.15,6.006,10.187,0.923,66.2,0.883,0.022,0.72,0.652,0.132
Kenya,4.656,8.404,0.707,57.3,0.821,0.285,0.844,0.747,0.237,4.547,8.411,0.674,58.1,0.702,0.254,0.837,0.738,0.297,4.448,8.499,0.691,58.9,0.706,0.294,0.878,0.725,0.281
Kosovo,6.392,9.283,0.822,,0.89,0.267,0.922,0.642,0.17,6.294,9.279,0.792,,0.88,0.304,0.91,0.593,0.201,6.16,9.416,0.888,,0.865,0.211,0.846,0.549,0.142
Kyrgyzstan,5.297,8.543,0.898,65.275,0.945,0.265,0.907,0.617,0.203,6.25,8.461,0.902,66.325,0.935,0.104,0.931,0.672,0.258,5.668,8.517,0.927,67.375,0.948,0.236,0.876,0.646,0.204
Latvia,5.901,10.311,0.913,66.1,0.608,-0.216,0.799,0.521,0.192,6.229,10.328,0.928,66.3,0.82,-0.084,0.809,0.674,0.202,6.055,10.407,0.928,66.5,0.817,0.019,0.844,0.632,0.161
Lebanon,5.167,9.797,0.829,65.925,0.607,-0.079,0.907,0.415,0.271,2.634,9.531,0.547,66.075,0.552,-0.136,0.884,0.352,0.482,2.352,9.428,0.535,66.225,0.45,-0.126,0.883,0.298,0.43
Lithuania,6.309,10.476,0.929,66.35,0.699,-0.241,0.852,0.518,0.214,6.391,10.523,0.953,67.05,0.824,-0.127,0.829,0.626,0.202,7.038,10.602,0.937,67.75,0.71,-0.191,0.685,0.471,0.132
Mali,4.416,7.69,0.692,54.2,0.737,-0.032,0.793,0.689,0.37,4.269,7.661,0.568,55,0.645,-0.065,0.895,0.648,0.44,4.211,7.645,0.642,55.8,0.818,-0.019,0.746,0.655,0.408
Malta,6.91,10.706,0.932,71.45,0.927,0.172,0.595,0.666,0.296,6.157,10.615,0.938,71.55,0.931,-0.003,0.675,0.576,0.411,6.299,,0.932,71.65,0.838,,0.758,0.671,0.37
Mauritius,5.882,10.044,0.909,63.925,0.867,-0.079,0.785,0.71,0.158,6.015,9.915,0.893,63.875,0.843,-0.036,0.772,0.7,0.138,5.741,10.007,0.887,63.825,0.798,-0.038,0.769,0.725,0.168
Mexico,6.55,9.917,0.858,65.8,0.816,-0.184,0.809,0.815,0.213,5.964,9.816,0.779,65.8,0.873,-0.125,0.778,0.745,0.292,7.038,9.876,0.858,65.8,0.861,-0.121,0.78,0.818,0.205
Moldova,5.682,9.423,0.892,64.1,0.824,-0.088,0.929,0.584,0.27,5.812,9.409,0.874,64.9,0.859,-0.058,0.941,0.698,0.268,5.687,9.54,0.817,65.7,0.829,-0.087,0.885,0.552,0.276
Mongolia,5.465,9.397,0.942,60.2,0.696,0.05,0.849,0.525,0.192,6.011,9.365,0.918,60.4,0.718,0.14,0.843,0.575,0.26,5.788,9.388,0.951,60.6,0.717,0.214,0.847,0.55,0.209
Morocco,4.897,8.996,0.554,63.6,0.773,-0.243,0.843,0.575,0.416,4.803,8.929,0.553,63.8,0.819,-0.235,0.803,0.548,0.256,4.596,8.996,0.564,64,0.795,-0.254,0.802,0.573,0.414
Namibia,4.834,9.237,0.864,55.725,0.754,-0.174,0.846,0.696,0.24,4.451,9.11,0.741,56.475,0.666,-0.107,0.81,0.652,0.248,4.949,9.132,0.808,57.225,0.683,-0.12,0.849,0.676,0.261
Nepal,4.91,8.221,0.768,61.025,0.77,0.11,0.742,0.457,0.387,5.982,8.233,0.787,61.575,0.772,0.138,0.812,0.48,0.337,5.474,8.285,0.753,62.125,0.844,0.153,0.76,0.473,0.342
Netherlands,7.463,10.934,0.939,71.325,0.92,0.158,0.371,0.748,0.205,7.504,10.902,0.944,71.475,0.935,0.147,0.281,0.691,0.247,7.39,10.981,0.929,71.625,0.868,0.224,0.459,0.711,0.198
New Zealand,7.37,10.666,0.954,70.125,0.949,0.115,0.207,0.785,0.168,7.257,10.637,0.952,70.275,0.918,0.118,0.283,0.796,0.209,6.975,10.682,0.956,70.425,0.831,0.187,0.281,0.706,0.21
Nicaragua,5.819,8.637,0.854,65.425,0.797,0.007,0.713,0.743,0.408,6.287,8.553,0.856,65.575,0.818,0.04,0.631,0.775,0.316,6.392,8.664,0.844,65.725,0.914,-0.001,0.57,0.787,0.339
North Macedonia,5.24,9.69,0.849,65.9,0.745,-0.046,0.91,0.512,0.298,5.054,9.667,0.75,66.3,0.787,0.13,0.877,0.542,0.365,5.167,9.733,0.85,66.7,0.723,0.072,0.937,0.555,0.277
Norway,7.444,11.072,0.966,71.35,0.96,0.088,0.268,0.786,0.212,7.29,11.06,0.956,71.45,0.965,0.069,0.271,0.777,0.216,7.295,11.111,0.927,71.55,0.939,0.185,0.314,0.759,0.211
Peru,5.68,9.449,0.845,69.325,0.83,-0.181,0.906,0.783,0.38,4.994,9.322,0.749,69.675,0.806,-0.091,0.912,0.736,0.481,5.892,9.449,0.823,70.025,0.764,-0.178,0.884,0.755,0.378
Poland,6.111,10.365,0.863,68.525,0.87,-0.258,0.72,0.622,0.176,6.139,10.39,0.953,68.875,0.767,-0.012,0.787,0.677,0.329,6.666,10.509,0.886,69.225,0.8,-0.207,0.667,0.594,0.14
Portugal,5.92,10.435,0.887,70.875,0.877,-0.265,0.88,0.646,0.318,5.768,10.374,0.875,71.125,0.913,-0.242,0.867,0.614,0.383,5.953,10.487,0.862,71.375,0.903,-0.137,0.893,0.638,0.316
Romania,6.151,10.266,0.818,66.675,0.845,-0.222,0.921,0.649,0.298,6.785,10.277,0.869,66.925,0.863,-0.159,0.918,0.668,0.256,6.437,10.404,0.83,67.175,0.836,-0.172,0.941,0.615,0.258
Russia,5.514,10.191,0.909,63.825,0.729,-0.151,0.865,0.615,0.199,5.495,10.188,0.887,64.575,0.714,-0.076,0.823,0.621,0.19,6.044,10.203,0.92,65.325,0.776,-0.07,0.767,0.614,0.211
Saudi Arabia,6.356,10.733,0.868,63.8,0.855,-0.194,,0.696,0.288,6.56,10.666,0.89,64.2,0.884,-0.112,,0.702,0.251,6.382,10.781,0.9,64.6,,-0.027,,0.677,0.205
Senegal,4.769,8.122,0.739,59.1,0.629,-0.077,0.805,0.724,0.247,4.757,8.127,0.621,59.7,0.797,-0.049,0.855,0.816,0.268,4.907,8.18,0.609,60.3,0.758,0.052,0.854,0.813,0.287
Slovenia,6.249,10.545,0.941,70.525,0.942,-0.123,0.839,0.601,0.275,6.462,10.521,0.953,70.875,0.958,-0.089,0.797,0.575,0.314,6.723,10.644,0.942,71.225,0.93,0.101,0.762,0.625,0.242
South Korea,5.84,10.645,0.798,72.825,0.6,-0.093,0.797,0.579,0.217,5.793,10.655,0.808,73.375,0.711,-0.111,0.665,0.55,0.247,5.95,10.726,0.81,73.925,0.723,0.003,0.747,0.585,0.233
Spain,6.513,10.603,0.91,71.975,0.722,-0.079,0.777,0.636,0.357,6.502,10.49,0.935,72.225,0.783,-0.125,0.73,0.671,0.317,6.337,10.587,0.934,72.475,0.781,0.001,0.673,0.636,0.32
Sweden,7.375,10.866,0.931,71.775,0.942,0.073,0.263,0.747,0.161,7.314,10.846,0.936,72.025,0.951,0.086,0.203,0.717,0.222,7.431,10.913,0.949,72.275,0.939,0.234,0.213,0.75,0.163
